Date,Transaction_ID,Description,Amount,Revenue,Expenses,Profit,Transaction_Type,Category,Payment_Method,Department,City,Status,Upload_File_ID,User_ID,Imported_At,Company
2026-01-01,TR001,Product Sale,2500.0,2500.0,1200.0,1300.0,Sale,Retail,Cash,Sales,Gjilan,Completed,54,18,2026-08-25 08:57:55,Acme Crop
2026-01-02,TR002,Office Supplies,450.0,1800.0,450.0,1350.0,Expense,Office,Card,Administration,Prishtina,Completed,54,18,2026-08-25 08:57:55,Acme Crop
2026-01-03,TR003,Service Payment,3200.0,3200.0,1400.0,1800.0,Sale,Services,Bank Transfer,Sales,Prishtina,Completed,54,18,2026-08-25 08:57:55,Acme Crop
2026-01-04,TR004,Marketing Campaign,900.0,2100.0,900.0,1200.0,Expense,Marketing,Card,Marketing,Ferizaj,Completed,54,18,2026-08-25 08:57:55,Acme Crop
2026-01-05,TR005,Online Order,1800.0,1800.0,750.0,1050.0,Sale,Ecommerce,Card,Sales,Prizren,Completed,54,18,2026-08-25 08:57:55,Acme Crop
2026-01-06,TR006,Equipment Purchase,4200.0,3500.0,4200.0,-700.0,Expense,Equipment,Bank Transfer,Operations,Gjilan,Completed,54,18,2026-08-25 08:57:55,Acme Crop
2026-01-07,TR007,Product Sale,2750.0,2750.0,1300.0,1450.0,Sale,Retail,Cash,Sales,Prishtina,Completed,54,18,2026-08-25 08:57:55,Acme Crop
2026-01-08,TR008,Consulting Service,3900.0,3900.0,1600.0,2300.0,Sale,Services,Bank Transfer,Consulting,Ferizaj,Completed,54,18,2026-08-25 08:57:55,Acme Crop
2026-01-09,TR009,Transport Cost,600.0,2400.0,600.0,1800.0,Expense,Transport,Cash,Operations,Prizren,Completed,54,18,2026-08-25 08:57:55,Acme Crop
2026-01-10,TR010,Online Order,2200.0,2200.0,950.0,1250.0,Sale,Ecommerce,Card,Sales,Gjilan,Completed,54,18,2026-08-25 08:57:55,Acme Crop
2026-01-11,TR011,Office Rent,1500.0,2800.0,1500.0,1300.0,Expense,Rent,Bank Transfer,Administration,Prishtina,Completed,54,18,2026-08-25 08:57:55,Acme Crop
2026-01-12,TR012,Product Sale,3100.0,3100.0,1450.0,1650.0,Sale,Retail,Cash,Sales,Ferizaj,Completed,54,18,2026-08-25 08:57:55,Acme Crop
2026-01-13,TR013,Software Subscription,800.0,2600.0,800.0,1800.0,Expense,Software,Card,IT,Prishtina,Completed,54,18,2026-08-25 08:57:55,Acme Crop
2026-01-14,TR014,Service Payment,4500.0,4500.0,1900.0,2600.0,Sale,Services,Bank Transfer,Sales,Gjilan,Completed,54,18,2026-08-25 08:57:55,Acme Crop
2026-01-15,TR015,Marketing Campaign,1100.0,3000.0,1100.0,1900.0,Expense,Marketing,Card,Marketing,Prizren,Completed,54,18,2026-08-25 08:57:55,Acme Crop
2026-01-16,TR016,Product Sale,2900.0,2900.0,1250.0,1650.0,Sale,Retail,Cash,Sales,Prishtina,Completed,54,18,2026-08-25 08:57:55,Acme Crop
2026-01-17,TR017,Equipment Purchase,3500.0,2700.0,3500.0,-800.0,Expense,Equipment,Bank Transfer,Operations,Ferizaj,Completed,54,18,2026-08-25 08:57:55,Acme Crop
2026-01-18,TR018,Online Order,2400.0,2400.0,1000.0,1400.0,Sale,Ecommerce,Card,Sales,Gjilan,Completed,54,18,2026-08-25 08:57:55,Acme Crop
2026-01-19,TR019,Consulting Service,4100.0,4100.0,1700.0,2400.0,Sale,Services,Bank Transfer,Consulting,Prishtina,Completed,54,18,2026-08-25 08:57:55,Acme Crop
2026-01-20,TR020,Transport Cost,700.0,2500.0,700.0,1800.0,Expense,Transport,Cash,Operations,Prizren,Completed,54,18,2026-08-25 08:57:55,Acme Crop
2026-01-21,TR021,Product Sale,3300.0,3300.0,1500.0,1800.0,Sale,Retail,Card,Sales,Gjilan,Completed,54,18,2026-08-25 08:57:55,Acme Crop
